Number,Answer,countPrimes O(N^0.5),Time,Delta,eratosthenes,Time,Delta,eratosthenes O(N),Time,Delta,Iterations,Time,Delta
10.0,4.0,4.0,1.4022E-5,0.0,4.0,1.636E-6,0.0,4.0,1.356E-6,0.0,4.0,1.096E-6,0.0
1.0,0.0,0.0,6.67E-7,0.0,0.0,3.61E-7,0.0,0.0,4.76E-7,0.0,0.0,1.14E-7,0.0
2.0,1.0,1.0,5.12E-7,0.0,1.0,6.15E-7,0.0,1.0,5.05E-7,0.0,1.0,1.0E-7,0.0
3.0,2.0,2.0,7.6E-7,0.0,2.0,5.87E-7,0.0,2.0,3.51E-7,0.0,2.0,2.25E-7,0.0
4.0,2.0,2.0,7.72E-7,0.0,2.0,7.23E-7,0.0,2.0,5.19E-7,0.0,2.0,3.93E-7,0.0
5.0,3.0,3.0,9.46E-7,0.0,3.0,7.86E-7,0.0,3.0,5.35E-7,0.0,3.0,3.34E-7,0.0
100.0,25.0,25.0,2.662E-6,0.0,25.0,3.11E-6,0.0,25.0,4.252E-6,0.0,25.0,1.1054E-5,0.0
1000.0,168.0,168.0,3.1089E-5,0.0,168.0,2.792E-5,0.0,168.0,5.7513E-5,0.0,168.0,6.109E-4,0.0
10000.0,1229.0,1229.0,5.59062E-4,0.0,1229.0,3.09376E-4,0.0,1229.0,4.28185E-4,0.0,1229.0,0.007923312,0.0
100000.0,9592.0,9592.0,0.002827122,0.0,9592.0,0.001057495,0.0,9592.0,0.001607134,0.0,9592.0,0.592461448,0.0
1000000.0,78498.0,78498.0,0.046086282,0.0,78498.0,0.002402648,0.0,78498.0,0.004505924,0.0,78498.0,48.23275593,0.0
1.0E7,664579.0,664579.0,1.135819384,0.0,664579.0,0.027642568,0.0,664579.0,0.065943317,0.0,NaN,NaN,NaN
1.0E8,5761455.0,5761455.0,29.974016692,0.0,5761455.0,0.715107317,0.0,5761455.0,0.93491628,0.0,NaN,NaN,NaN
1.0E9,5.0847534E7,5.0847534E7,817.676617772,0.0,5.0847534E7,9.086391572,0.0,5.0847534E7,12.180648855,0.0,NaN,NaN,NaN
1.23456789E8,7027260.0,7027260.0,40.746775671,0.0,7027260.0,0.966167301,0.0,7027260.0,1.224245925,0.0,NaN,NaN,NaN
